city,lat,lng,country,iso2,capital,population,population_proper
Karasht,35.7186,51.8336,Iran,IR,,1785,1785
Golsarak,37.0289,49.6339,Iran,IR,,1782,1782
Chavan,37.985,46.3908,Iran,IR,,1729,1729
Tasīyeh,37.3922,49.7058,Iran,IR,,1721,1721
Gilova,37.3092,49.8072,Iran,IR,,1706,1706
Khanā Chāh,37.2722,49.6967,Iran,IR,,1683,1683
Mozhdeh,37.2608,49.7319,Iran,IR,,1677,1677
Pachkenar,37.2731,49.6525,Iran,IR,,1638,1638
Paein Mahalle-ye Foshotm,37.2811,49.8686,Iran,IR,,1636,1636
Dafchah,37.3386,49.6919,Iran,IR,,1632,1632
Bala Mahalle-ye Gafsheh,37.3372,49.8197,Iran,IR,,1533,1533
Qal‘eh-ye Amīrīyeh,32.6431,51.5419,Iran,IR,,1510,1510
Kondor,35.8461,51.1097,Iran,IR,,1498,1498
Eshkīk,37.3628,49.6236,Iran,IR,,1451,1451
Belesbeneh,37.2797,49.7444,Iran,IR,,1420,1420
Joubaneh,37.1714,49.7056,Iran,IR,,1407,1407
Jirsar-e Chokam,37.4042,49.5969,Iran,IR,,1392,1392
Barkā Deh,37.3031,49.745,Iran,IR,,1385,1385
Velāyat Rūd,36.0808,51.3808,Iran,IR,,1382,1382
Kenār Sar-e Bozorg,37.3178,49.7878,Iran,IR,,1369,1369
Siah Sang,35.7267,51.7772,Iran,IR,,1350,1350
Falak Deh,37.2169,49.5506,Iran,IR,,1329,1329
Alvār-e Bālā,38.1503,46.1764,Iran,IR,,1309,1309
Shahrestānak,35.97,51.3536,Iran,IR,,1307,1307
Nashtrūd Kol,37.1961,49.7289,Iran,IR,,1304,1304
Bonakdeh,37.1811,49.7339,Iran,IR,,1285,1285
Kadū Sarā,37.2367,49.7689,Iran,IR,,1241,1241
Fakhrābād,37.4044,49.8775,Iran,IR,,1236,1236
Shījān,37.4194,49.5939,Iran,IR,,1223,1223
Karbāsdeh,37.2686,49.7972,Iran,IR,,1186,1186
Jildan,37.3925,49.8453,Iran,IR,,1181,1181
Mishamandan,37.3111,49.6769,Iran,IR,,1174,1174
Khoshk Esţalkh,37.4336,49.8344,Iran,IR,,1168,1168
Vishka Souqeh,37.3533,49.7347,Iran,IR,,1157,1157
Marz Dasht,37.3856,49.6739,Iran,IR,,1149,1149
Tazeh Abad,37.3906,49.6456,Iran,IR,,1146,1146
